ts,priceDiff,margin,sell_exchange_name,buy_exchange_name,sell_pair,buy_pair,sell_price,buy_price,sell_amount,buy_amount,sell_margin,buy_margin,suggested_buy_amount,suggested_sell_amount,gross_margin,trade_decision
2020-02-19 03:33:10.010644,0.0006400699999999926,0.002173855971233224,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29443993,2265.0,1366.7319730000002,-698.3757730000001,-2376.8023975212873,668.3562000000001,2265.0,1.452910116280691,False
2020-02-19 03:33:20.746655,0.0006499500000000102,0.0022074103030481425,binance,bittrex,XRP-USDT,XRP-USDT,0.29509,0.29444005,2265.0,1366.7319730000002,-698.3531230000001,-2376.800505739624,668.37885,2265.0,1.4753863598294856,False
2020-02-19 03:33:28.750285,0.0009596099999999996,0.0032590977073491843,binance,bittrex,XRP-USDT,XRP-USDT,0.2954,0.29444039,2265.0,1366.7319730000002,-697.6509730000001,-2376.79514569995,669.081,2265.0,2.180600353130899,False
2020-02-19 03:33:37.251221,0.000959309999999991,0.0032580755058004753,binance,bittrex,XRP-USDT,XRP-USDT,0.2954,0.29444069,2265.0,1366.7319730000002,-697.6509730000001,-2376.7904162634595,669.081,2265.0,2.179916417496429,False
2020-02-19 03:33:45.650891,0.0005893100000000095,0.002001455709127735,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29444069,2265.0,1366.7319730000002,-698.4890230000001,-2376.7904162634595,668.2429500000001,2265.0,1.3374586673618296,False
2020-02-19 03:33:55.732009,0.0005890400000000406,0.0020005368818252754,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29444096,2265.0,1366.7319730000002,-698.4890230000001,-2376.786159778858,668.2429500000001,2265.0,1.336844667494688,False
2020-02-19 03:34:06.635736,0.0006989500000000315,0.0023738198189417934,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29444105,2265.0,1366.7319730000002,-698.2398730000001,-2376.784740952392,668.4921,2265.0,1.5868797957861034,False
2020-02-19 03:34:17.189143,0.000948699999999969,0.0032220344088956577,binance,bittrex,XRP-USDT,XRP-USDT,0.29539,0.2944413,2265.0,1366.7319730000002,-697.6736230000001,-2376.780799772315,669.05835,2265.0,2.1557290252590064,False
2020-02-19 03:34:26.400448,0.0009486200000000111,0.0032217618325250724,binance,bittrex,XRP-USDT,XRP-USDT,0.29539,0.29444138,2265.0,1366.7319730000002,-697.6736230000001,-2376.7795385961044,669.05835,2265.0,2.1555466557622367,False
2020-02-19 03:34:34.384687,0.0009484399999999948,0.0032211485362324357,binance,bittrex,XRP-USDT,XRP-USDT,0.29539,0.29444156,2265.0,1366.7319730000002,-697.6736230000001,-2376.776700952135,669.05835,2265.0,2.1551363247565405,False
